City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,72.68,66,1,23.17,PN,1713545665
1,iqaluit,63.7506,-68.5145,13.5,75,98,7.72,CA,1713545668
2,talnakh,69.4865,88.3972,20.21,97,100,7.49,RU,1713545585
3,grytviken,-54.2811,-36.5092,43.56,99,97,3.96,GS,1713545673
4,saudarkrokur,65.7461,-19.6394,35.06,77,100,16.49,IS,1713545675
5,keflavik,64.0049,-22.5624,39.63,93,100,31.07,IS,1713545678
6,waitangi,-43.9535,-176.5597,56.82,96,100,10.94,NZ,1713545114
7,ribeira grande,38.5167,-28.7,66.78,82,40,13.8,PT,1713545683
8,skopin,53.8249,39.5505,46.09,70,30,21.99,RU,1713545686
9,fortuna,40.5982,-124.1573,60.98,74,0,0.0,US,1713545688
10,niquero,20.0431,-77.5828,87.4,41,1,12.41,CU,1713545691
11,yeed,4.55,43.0333,86.09,59,52,12.24,SO,1713545694
12,west island,-12.1568,96.8225,82.38,69,40,18.41,CC,1713545696
13,nouadhibou,20.931,-17.0347,66.96,81,100,28.12,MR,1713545699
14,susuman,62.7833,148.1667,6.98,99,72,4.0,RU,1713545567
15,avarua,-21.2078,-159.775,78.85,83,20,3.44,CK,1713545704
16,watsa,3.0372,29.5355,70.68,83,100,4.5,CD,1713545707
17,kuta,-8.7233,115.1723,84.15,88,20,9.22,ID,1713545709
18,edinburgh of the seven seas,-37.0676,-12.3116,58.48,72,84,31.65,SH,1713545712
19,utrik,11.2278,169.8474,80.82,81,2,21.7,MH,1713545715
20,tyukalinsk,55.8732,72.1967,44.89,82,98,8.28,RU,1713545717
21,sisimiut,66.9395,-53.6735,25.83,74,18,8.39,GL,1713545720
22,ushuaia,-54.8,-68.3,38.86,81,100,20.71,AR,1713545723
23,nemuro,43.3236,145.575,36.55,92,100,29.53,JP,1713545725
24,georgetown,5.4112,100.3354,85.95,74,20,2.3,MY,1713545472
25,qaqortoq,60.7167,-46.0333,30.79,94,81,3.42,GL,1713545731
26,puerto santa,-8.9906,-78.6456,71.47,77,78,9.89,PE,1713545734
27,port-aux-francais,-49.35,70.2167,38.39,63,26,30.22,TF,1713545737
28,blackmans bay,-43.0167,147.3167,46.53,89,97,1.01,AU,1713545739
29,port augusta,-32.5,137.7667,55.0,70,0,8.72,AU,1713545742
30,hermanus,-34.4187,19.2345,65.57,81,25,0.92,ZA,1713545679
31,puerto ayora,-0.7393,-90.3518,77.56,96,81,1.99,EC,1713545747
32,margaret river,-33.95,115.0667,62.49,48,90,6.76,AU,1713545750
33,sinabang,2.4803,96.3801,80.46,87,100,11.5,ID,1713545752
34,east london,-33.0153,27.9116,70.74,94,75,8.05,ZA,1713545679
35,dawei,14.0833,98.2,78.04,86,4,1.5,MM,1713545758
36,kerikeri,-35.2268,173.9474,60.4,97,100,5.61,NZ,1713545760
37,saipan,15.1355,145.701,81.3,83,40,6.91,MP,1713545763
38,ghat,24.9647,10.1728,94.33,6,0,14.45,LY,1713545765
39,santo antonio do ica,-3.1022,-67.9397,81.82,77,100,3.76,BR,1713545768
40,chopinzinho,-25.8558,-52.5233,76.15,34,33,1.86,BR,1713545520
41,chiredzi,-21.05,31.6667,77.0,43,7,7.36,ZW,1713545774
42,belozersk,60.0326,37.7957,34.99,62,100,5.01,RU,1713545776
43,papatowai,-46.5619,169.4708,45.34,89,91,5.64,NZ,1713545779
44,hawaiian paradise park,19.5933,-154.9731,69.31,96,100,3.44,US,1713545782
45,sur,22.5667,59.5289,81.1,61,3,3.38,OM,1713545784
46,enewetak,11.3474,162.3373,81.28,83,50,17.54,MH,1713545787
47,tibanbang,6.6315,126.1055,80.28,76,75,2.95,PH,1713545790
48,xichang,27.8964,102.2634,59.86,89,100,1.25,CN,1713545792
49,port lincoln,-34.7333,135.8667,56.7,76,5,12.24,AU,1713545795
50,newman,37.3138,-121.0208,68.23,70,84,3.0,US,1713545798
51,miskolc,48.1,20.7833,50.18,58,77,5.73,HU,1713545801
52,antsiranana,-12.2787,49.2917,79.2,79,23,12.21,MG,1713545803
53,visakhapatnam,17.69,83.2093,85.89,94,40,9.22,IN,1713545806
54,tokar,18.4254,37.729,84.81,45,0,7.47,SD,1713545809
55,puerto natales,-51.7236,-72.4875,43.25,81,75,26.46,CL,1713545811
56,alofi,-19.0595,-169.9187,75.09,94,98,5.75,NU,1713545814
57,chabahar,25.2919,60.643,78.4,71,0,10.56,IR,1713545816
58,san pablo jocopilas,14.5833,-91.45,93.74,47,50,8.57,GT,1713545821
59,cabedelo,-6.9811,-34.8339,92.07,71,99,10.58,BR,1713545532
60,kuanda,56.3161,116.0806,25.12,86,100,2.35,RU,1713545826
61,flin flon,54.7682,-101.865,24.94,69,31,12.71,CA,1713545831
62,antofagasta,-23.65,-70.4,72.68,71,24,7.0,CL,1713545833
63,levuka,50.1834,-105.4011,44.42,80,100,17.27,CA,1713545837
64,hengchun,22.0042,120.7439,78.1,80,2,6.15,TW,1713545840
65,yamada,39.4667,141.95,46.09,79,4,7.38,JP,1713545842
66,jamestown,42.097,-79.2353,62.19,88,100,14.97,US,1713545845
67,itamaraca,-7.7478,-34.8256,87.85,68,100,9.42,BR,1713545848
68,hadibu,12.65,54.0333,83.26,80,86,9.33,YE,1713545850
69,lufilufi,-13.8745,-171.5986,76.78,78,92,15.59,WS,1713545853
70,vilyuchinsk,52.9306,158.4028,36.25,95,95,2.21,RU,1713545855
71,albany,42.6001,-73.9662,57.74,60,100,7.0,US,1713545858
72,chita,52.0333,113.55,24.69,63,99,2.24,RU,1713545861
73,namibe,-15.1961,12.1522,77.13,78,67,9.98,AO,1713545863
74,invercargill,-46.4,168.35,47.01,95,83,3.0,NZ,1713545866
75,mogocha,53.7333,119.7667,25.18,96,98,0.31,RU,1713545868
76,nuuk,64.1835,-51.7216,25.88,92,100,11.01,GL,1713545871
77,priladozhskiy,59.85,31.4833,27.54,1,100,12.59,RU,1713545874
78,ulladulla,-35.35,150.4667,58.77,82,95,17.56,AU,1713545878
79,khorramabad,33.4878,48.3558,65.82,39,20,4.61,IR,1713545880
80,bredasdorp,-34.5322,20.0403,63.19,89,14,5.64,ZA,1713545883
81,atafu village,-8.5421,-172.5159,85.24,75,64,14.65,TK,1713545886
82,tam ky,15.5667,108.4833,77.31,86,23,2.93,VN,1713545888
83,whitehorse,60.7161,-135.0538,35.22,84,81,6.22,CA,1713545891
84,shuangcheng,45.35,126.2833,40.68,29,91,8.37,CN,1713545894
85,arraial do cabo,-22.9661,-42.0278,76.96,69,75,13.8,BR,1713545844
86,posadas,-27.3671,-55.8961,78.28,38,0,11.5,AR,1713545714
87,wenchang,30.904,118.4887,62.06,94,100,10.85,CN,1713545902
88,tavsanli,39.5424,29.4987,58.17,52,99,2.84,TR,1713545905
89,al bawiti,28.3492,28.8659,77.83,24,0,9.53,EG,1713545907
90,thompson,55.7435,-97.8558,22.87,77,100,13.22,CA,1713545616
91,cockburn town,21.4612,-71.1419,80.56,57,40,17.27,TC,1713545868
92,praia da vitoria,38.7333,-27.0667,70.05,64,20,11.97,PT,1713545915
93,fale old settlement,-9.3852,-171.2468,85.71,73,78,15.93,TK,1713545918
94,aasiaat,68.7098,-52.8699,20.43,80,62,8.25,GL,1713545920
95,vorgashor,67.5833,63.95,-7.76,91,71,8.28,RU,1713545923
96,vadso,70.0744,29.7487,24.96,54,0,16.11,NO,1713545925
97,bilibino,68.0546,166.4372,7.61,97,100,5.99,RU,1713545931
98,kuraymah,18.55,31.85,95.99,9,3,8.23,SD,1713545933
99,aykhal,66.0,111.5,27.12,90,100,10.13,RU,1713545936
100,olonkinbyen,70.9221,-8.7187,23.18,54,2,17.6,SJ,1713545939
101,nar'yan-mar,67.6713,53.087,2.1,93,23,8.99,RU,1713545942
102,yellowknife,62.456,-114.3525,35.42,71,100,4.0,CA,1713545944
103,bechar,31.6167,-2.2167,84.52,14,40,19.57,DZ,1713545948
104,saint-joseph,-21.3667,55.6167,75.58,80,86,11.5,RE,1713545950
105,cabo san lucas,22.8909,-109.9124,90.61,19,0,12.66,MX,1713545868
106,yuanping,38.7153,112.7575,48.9,62,100,2.91,CN,1713545956
107,port mathurin,-19.6833,63.4167,79.29,73,100,23.13,MU,1713545959
108,port elizabeth,-33.918,25.5701,68.31,87,0,9.22,ZA,1713545961
109,alva,56.1528,-3.8051,53.04,53,90,9.55,GB,1713545964
110,wewak,-3.5534,143.6268,80.53,86,92,4.85,PG,1713545966
111,khandyga,62.6667,135.6,19.96,85,71,4.68,RU,1713545969
112,freeport,40.6576,-73.5832,58.98,71,75,14.97,US,1713545661
113,sitka,57.0531,-135.33,55.29,35,0,8.05,US,1713545974
114,bochum,51.4833,7.2167,49.5,85,83,8.01,DE,1713545977
115,richards bay,-28.783,32.0377,70.02,87,2,1.43,ZA,1713545980
116,greymouth,-42.4667,171.2,46.44,90,99,5.77,NZ,1713545983
117,coari,-4.085,-63.1414,88.0,62,96,3.31,BR,1713545985
118,ust-nera,64.5667,143.2,5.59,96,21,3.49,RU,1713545988
119,paciran,-6.8767,112.3761,80.73,87,100,7.38,ID,1713545991
120,badger,64.8,-147.5333,39.97,65,0,0.0,US,1713545993
121,emerald,-23.5333,148.1667,69.35,55,91,12.75,AU,1713545996
122,tazovsky,67.4667,78.7,0.72,93,100,19.08,RU,1713545998
123,iskateley,67.6803,53.1512,2.01,93,22,8.99,RU,1713546001
124,glace bay,46.1969,-59.957,45.27,75,69,10.0,CA,1713546004
125,egilsstadir,65.2653,-14.3948,33.71,69,40,19.57,IS,1713546008
126,luau,-10.7073,22.2247,73.0,74,100,3.42,AO,1713546011
127,znamenskoye,57.1281,73.8282,37.4,82,70,5.14,RU,1713546014
128,chibougamau,49.9168,-74.3659,39.9,97,100,10.54,CA,1713546016
129,holualoa,19.6228,-155.9522,74.88,77,7,1.88,US,1713546019
130,punta arenas,-53.15,-70.9167,44.71,67,75,16.11,CL,1713546022
131,udachny,66.4167,112.4,31.44,89,100,12.21,RU,1713546025
132,quitilipi,-26.8691,-60.2168,81.93,32,0,10.27,AR,1713546028
133,vernon,50.2581,-119.2691,52.23,34,76,4.61,CA,1713546030
134,stanley,54.868,-1.6985,45.99,60,20,19.57,GB,1713546033
135,tiksi,71.6872,128.8694,11.97,95,78,4.36,RU,1713546036
136,daru,-9.0763,143.2092,80.06,89,100,7.81,PG,1713546039
137,mount isa,-20.7333,139.5,69.57,28,80,19.57,AU,1713546041
138,bethel,41.3712,-73.414,58.55,61,100,8.05,US,1713545888
139,sterling,39.0062,-77.4286,55.38,87,100,9.22,US,1713545839
140,tomatlan,19.9333,-105.25,89.85,28,0,7.31,MX,1713546050
141,klyuchi,52.2667,79.1667,50.11,59,82,7.85,RU,1713546052
142,kendari,-3.945,122.4989,76.77,95,100,2.26,ID,1713546055
143,buka,40.8108,69.1986,67.39,53,93,4.81,UZ,1713546058
144,qamdo,31.1667,97.2333,37.85,72,92,2.91,CN,1713546061
145,berezovyy,51.6667,135.7,32.47,98,100,5.12,RU,1713546072
146,hamilton,39.1834,-84.5333,59.25,78,100,8.05,US,1713545943
147,shache,38.4167,77.2406,64.54,37,100,16.4,CN,1713546078
148,flying fish cove,-10.4217,105.6791,80.28,89,100,9.22,CX,1713545875
149,ilulissat,69.2167,-51.1,23.02,74,75,4.61,GL,1713546087
150,mount pearl,47.5166,-52.7813,38.84,91,100,14.0,CA,1713546089
151,kani keli,-12.9536,45.1033,83.46,74,99,7.92,YT,1713546092
152,dryden,49.7833,-92.7503,33.64,75,100,11.63,CA,1713546094
153,san mateo del mar,16.2,-95.0,81.73,76,67,7.11,MX,1713546097
154,isafjordur,66.0755,-23.124,32.04,59,0,4.61,IS,1713546100
155,melfort,52.8667,-104.6177,24.37,76,67,12.77,CA,1713546102
156,xilin hot,43.9667,116.0333,42.04,77,100,5.08,CN,1713545840
157,san patricio,28.017,-97.5169,87.66,57,49,7.38,US,1713546107
158,kashin,57.3592,37.6081,45.93,73,27,19.93,RU,1713546110
159,st. john's,47.5649,-52.7093,39.67,92,99,25.99,CA,1713545994
160,tocopilla,-22.092,-70.1979,71.8,66,2,2.39,CL,1713546115
161,le port,-20.9373,55.2919,77.0,76,87,5.57,RE,1713546118
162,jayapura,-2.5333,140.7,76.39,93,98,2.66,ID,1713546121
163,colonia,50.9333,6.95,50.97,73,40,18.41,DE,1713546007
164,elamanchili,17.55,82.8667,86.22,83,81,7.38,IN,1713546126
165,aur,8.1499,171.1687,82.44,82,26,21.9,MH,1713546129
166,pitkyaranta,61.5734,31.4792,26.51,92,100,18.28,RU,1713546131
167,qarazhal,48.0078,70.7903,65.26,54,0,13.4,KZ,1713546137
168,ola,59.5833,151.2833,26.15,79,12,10.58,RU,1713546139
169,afaahiti,-17.75,-149.2833,76.87,78,76,18.81,PF,1713546142
170,kristiansund,63.1115,7.732,44.65,56,0,8.05,NO,1713546145
171,gamba,-2.65,10.0,78.84,85,100,9.69,GA,1713546148
172,horta,38.5333,-28.6333,65.01,81,40,13.8,PT,1713546151
173,miri,4.4148,114.0089,80.74,94,40,0.0,MY,1713546156
174,hammerfest,70.6634,23.6821,30.65,47,0,11.5,NO,1713546159
175,san pedro pochutla,15.7333,-96.4667,92.19,43,11,7.56,MX,1713546164
176,cotonou,6.3654,2.4183,89.58,74,40,11.5,BJ,1713546167
177,huarmey,-10.0681,-78.1522,74.43,73,99,9.42,PE,1713546170
178,dunedin,-45.8742,170.5036,46.8,99,100,4.68,NZ,1713546154
179,burao,9.5221,45.5336,82.45,50,100,9.35,SO,1713546175
180,ardestan,33.3761,52.3694,71.73,28,95,7.9,IR,1713546178
181,tolanaro,-25.0319,46.9987,75.27,73,75,18.41,MG,1713546181
182,koluszki,51.7387,19.8199,49.75,100,100,10.54,PL,1713545990
183,bandarbeyla,9.4942,50.8122,84.52,77,22,11.18,SO,1713546186
184,nova sintra,14.8667,-24.7167,76.93,76,16,22.66,CV,1713546189
185,miyako,39.6367,141.9525,48.15,75,9,8.43,JP,1713546192
186,juan griego,11.0817,-63.9655,88.34,60,100,7.92,VE,1713546195
187,naze,28.3667,129.4833,68.92,75,80,9.82,JP,1713546199
188,grand-lahou,5.1367,-5.0242,86.65,72,86,7.85,CI,1713546163
189,staraya russa,57.9944,31.3608,30.97,95,100,12.88,RU,1713546204
190,harstad,68.799,16.5293,39.15,57,20,18.01,NO,1713546208
191,mount airy,36.4993,-80.6073,70.95,70,75,3.44,US,1713546131
192,tateyama,34.9833,139.8667,61.68,63,55,1.39,JP,1713546213
193,kone,-21.0595,164.8658,73.72,95,99,4.29,NC,1713546216
